,Bids listed(29/12/2016),Siteid,Candidate Site URL,Source,Priority,Status,AssignedTo,Note,"Nothing
Captured","Due Date 
Wrong","Title
Wrong","Description 
Wrong","UTF
Encoding
Error","Opportunity
 Link
Wrong",SiteName,SiteDescription,SiteShortName,DefaultCustomerName,SiteURL,SourceType,DefaultOpportunityLongitude,DefaultOpportunityLatitude,DefaultCustomerType,DefaultCountry,DefaultState,DefaultCity,DefaultTimeZone,SiteProperty,DefaultAggregatorClass,AggregatorEnabled,SiteAggregateFrequencyInMins,Content Verified in Stage?,Content Verified in Production?
#1,☑,36,https://missouribuys.mo.gov,State of Missouri,,Verified,Uzay Takaoglu,Verify On stage. Need Discussion on description. Update: IO Exception,☐,☐,☐,☐,☐,☐,State of Missouri,State of Missouri,MissouriBuys,State of Missouri,https://webprocure.perfect.com/MainBidBoard?w=y&baseurl=https://webprocure.perfect.com&oid=86637&resize=true,Free,,,,,,,,,,,,,
#2,☑,318,http://www.courts.mo.gov/,State of Missouri,,Verified,Uzay Takaoglu,Verify On stage. Still location Conflicts,☐,☐,☐,☐,☐,☐,Office of State Courts Administrator-Missouri,Office of State Courts Administrator-Missouri,OSCA-Missouri,Office of State Courts Administrator-Missouri,http://www.courts.mo.gov/osca/contractsrepository.nsf/WEBVIEW?OpenView,Free,,,,,,,,,,,,,
#3,☑,319,https://oa.mo.gov/facilities/bid-opportunities/bid-listing-electronic-plans,Missouri office of Administration,,Verified,Uzay Takaoglu,"Verify On staging and awaiting deployment on production bz address
(30-aug) 2 opps are displaying wrong city",☐,☐,☐,☐,☐,☐,Missouri office of Administration,"Missouri office of Administration, Facilities Management, Design and Construction- State of Missouri",Missouri office of Administration,Missouri office of Administration,http://oa.mo.gov/facilities/bid-opportunities/bid-listingelectronic-plans-projects-currently-bidding,Free,,,,,,,,,,,,,
#4,☑,320,https://www.bidx.com,Missouri Department of Transportation,,Verified,Uzay Takaoglu,Verify On stage,☐,☐,☐,☐,☐,☐,Missouri Department of Transportation,Missouri Department of Transportation,Missouri Department of Transportation,Missouri Department of Transportation,https://www.bidx.com/mo/main,Free,,,,,,,,,,,,,
#5,☑,321,http://doc.mo.gov/DHS/Commodities_Bidding_Opportunities.php,Missouri Department of Corrections,,Verified,Uzay Takaoglu,"Source site have 4 bids and on beta it is displaying only 3
(31-aug) customer name should be Missouri Department of Corrections",☐,☐,☐,☐,☐,☐,Missouri Department of Corrections,Missouri Department of Corrections,Missouri Department of Corrections,Missouri Department of Corrections,http://doc.mo.gov/DHS/Commodities_Bidding_Opportunities.php,Free,,,,,,,,,,,,,
#6,☑,322,http://health.mo.gov/information/publicnotices/invitations/index.php,Missouri Department of Health and Senior Services,,Verified,Uzay Takaoglu,"Since the document has lots of information and Description takes all the information, we have lots of data in a single bid
7/4/2017 : Source site have 5 bids but on beta it is showing only 4 bids ",☐,☐,☐,☐,☐,☐,Missouri Department of Health and Senior Services,Missouri Department of Health and Senior Services,Missouri Department of Health and Senior Services,Missouri Department of Health and Senior Services,http://health.mo.gov/information/publicnotices/invitations/index.php,Free,,,,,,,,,,,,,
#7,☐,,http://doc.mo.gov/DHS/Professional_Services_Bidding_Opportunities.php,Missouri Department of Corrections,,Verified,Uzay Takaoglu,Verify On stage,☐,☐,☐,☐,☐,☐,Missouri Department of Corrections,Missouri Department of Corrections Professional Services,Missouri Department of Corrections,Missouri Department of Corrections,http://doc.mo.gov/DHS/Professional_Services_Bidding_Opportunities.php,Free,,,,,,,,,,,,,
#8,☑,326,http://doc.mo.gov/DHS/General_Services_Bidding_Opportunities.php,Missouri Department of Corrections,,Verified,Uzay Takaoglu,Verify On stage,☐,☐,☐,☐,☐,☐,Missouri Department of Corrections,Missouri Department of Corrections General Services,Missouri Department of Corrections,Missouri Department of Corrections,http://doc.mo.gov/DHS/General_Services_Bidding_Opportunities.php,Free,,,,,,,,,,,,,
#9,☐,,http://www.sos.mo.gov/fiscal/,Missouri Secretary of State's Office,,Development Backlog,Uzay Takaoglu,"Since the document has lots of information and Description takes all the information, we have lots of data in a single bid. Please specify the part of the document revelent to the description of the bid. For now i am posting general introduction of the bid from the document. , no bids on it(21/08/2017)",☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#10,☑,330,https://www.stlouis-mo.gov/government/procurement.cfm,City of San Louis,,Verified,Prem Kumar,,☐,☐,☐,☐,☐,☐,City of San Louis,City of San Louis,City of San Louis,City of San Louis,https://www.stlouis-mo.gov/government/procurement.cfm,Free,,,City,USA,MO,San Louis,,,,,,,
